"Account","Invoice Number","Invoice Date","Invoice Type","Status","Payment Due Date","Created By","Invoice Amount","Invoice Currency","Exchange Rate To USD","Invoice Date Of Issue","Proforma","Exported","Billing Centre"
"PSMBN","Liq038490","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","1,310.07","USD","1.00000","2025-02-18","false","false","EANA Central"
"N888HK","Liq038489","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","2,118.97","USD","1.00000","2025-02-18","false","false","EANA Central"
"N745TB","Liq038488","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","16.14","USD","1.00000","2025-02-18","false","false","EANA Central"
"N745TB","Liq038487","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","3,680.50","ARS","1.00000","2025-02-18","false","false","EANA Central"
"N696JS","Liq038486","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","1,177.46","USD","1.00000","2025-02-18","false","false","EANA Central"
"N696JS","Liq038485","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","12,632.22","ARS","1.00000","2025-02-18","false","false","EANA Central"
"N636JS","Liq038484","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","1,502.74","USD","1.00000","2025-02-18","false","false","EANA Central"
"N581JD","Liq038483","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","24.29","USD","1.00000","2025-02-18","false","false","EANA Central"
"N500FH","Liq038482","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","23.91","USD","1.00000","2025-02-18","false","false","EANA Central"
"N16MF","Liq038481","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","1,080.33","USD","1.00000","2025-02-18","false","false","EANA Central"
"CGLMM","Liq038480","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","286.24","USD","1.00000","2025-02-18","false","false","EANA Central"
"N229KM","Liq038479","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","577.88","USD","1.00000","2025-02-18","false","false","EANA Central"
"KENN BOREK AIR LTD","Liq038478","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","899.99","USD","1.00000","2025-02-18","false","false","EANA Central"
"CCCEZ","Liq038477","2025-01-31","aviation-noniata","PUBLISHED","2025-02-28","Veronica Villano","67.37","USD","1.00000","2025-02-18","false","false","EANA Central"
